campaign_id,arm,run_id,plan,env,node_version,protocol_version,chain_id,profile,cell_id,backend,depth,partner_depth,op_seq,op,kind,proof_id,proof_j,leaf_index,from_account,to_contract,contract_name,contract_address,nonce,tx_type,gas_limit,gas_per_pubdata_limit,max_fee_per_gas_wei,expected_status,status,expected_revert,revert_reason,expected_return,return_value,check_pass,computational_gas,pubdata_bytes,pubdata_gas,gas_per_pubdata,gas_used,gas_used_derived,fee_trace_gas_limit,accounting_ok,calldata_bytes,calldata_sha256,raw_tx_bytes,factory_deps,bytecode_bytes,bytecode_hash,bytecode_matches_artifact,tx_hash,block_number,l1_batch_number,block_timestamp,effective_gas_price_wei,fee_semantics
CSI-CHAIN-LOCAL-01,L2-EraVM,full-l2-e97b69f-20260925T132901Z-b,full,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d5,groth16,5,10,1,deploy_verifier,tx,,,,A0,,Groth16LegacyVerifierDepth5,0x588758d8a0Ad1162A6294f3C274753137E664aE0,0,113,20000000,50000,45250000,1,1,,,,,1,487466,3371,283164,84,769405,769405,20000000,1,132,ba9355c38a8104edd1b3d0495ba83f8ca373a6932a9f92d7a01b73e65ed12bf9,3322,1,3040,0x0100005fe1f7eb30ff73bf3a9f18dde1706f4fc092896fe69c2f23e554859b64,1,0x000e204ca1a431753759067cb870e6b33278cf4815db6ff768be21ce7b6621aa,1,1,1001,45250000,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,full-l2-e97b69f-20260925T132901Z-b,full,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d5,groth16,5,10,2,deploy_manager,tx,,,,A0,,CredentialManagerGroth16,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,1,113,20000000,50000,45250000,1,1,,,,,1,730737,5389,452676,84,1181454,1181454,20000000,1,164,a7a9ebb5b6128cae73685632e104199605917f6da6298e585bd96b4abfb483a3,7066,1,6752,0x010000d37155e3640948296be420258a2e1a98adb16b55738b817247e9fd54eb,1,0x8c110816e7925ea29a351117dd169a87e466e2a5d8c5c6e0c8321ff79f631cf9,3,2,1003,45250000,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,full-l2-e97b69f-20260925T132901Z-b,full,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d5,groth16,5,10,3,set_issuer,tx,,,,A0,manager,CredentialManagerGroth16,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,2,113,2000000,50000,45250000,1,1,,,,,1,124477,51,4284,84,128742,128742,2000000,1,68,727fd06686258f939093f54b4f3c375b0f3052da4ba7867e73d6f93a90702a06,211,0,,,,0x713564879c8aff6031e6624c8058f345711ab28df94e9be12b15a64f20b02b53,5,3,1005,45250000,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,full-l2-e97b69f-20260925T132901Z-b,full,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d5,groth16,5,10,4,add_root,tx,,,,A0,manager,CredentialManagerGroth16,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,3,113,2000000,50000,45250000,1,1,,,,,1,124797,51,4284,84,129062,129062,2000000,1,36,b91c4cff980f8874fb8d0fca3dd2b3046defc125bb26b20f9f41f40dec3d44ad,178,0,,,,0x5e364c59718431f15f59f71461e49a4af077fe9c2edb59374c5128c3809ac4fa,7,4,1007,45250000,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,full-l2-e97b69f-20260925T132901Z-b,full,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d5,groth16,5,10,5,precheck_call,call,G16-d5-p0,0,2,A0,manager,CredentialManagerGroth16,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,,,,,,call,call,,,true,true,1,,,,,,,,,292,5837cb8f85853d1b4c5630e24fd145aeeb696d2dcc92dcf8c0220201ca5ef8a8,,,,,,,,,,,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,full-l2-e97b69f-20260925T132901Z-b,full,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d5,groth16,5,10,6,verify_credential,tx,G16-d5-p0,0,2,A0,manager,CredentialManagerGroth16,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,4,113,10000000,50000,45250000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,10000000,1,292,5837cb8f85853d1b4c5630e24fd145aeeb696d2dcc92dcf8c0220201ca5ef8a8,437,0,,,,0x1126c7cc680225882b677ea854fb1032b6aff536cf286ccfdff4b5f9869f0ebd,9,5,1009,45250000,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,full-l2-e97b69f-20260925T132901Z-b,full,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d5,groth16,5,10,7,verify_credential,tx,G16-d5-p1,1,6,A0,manager,CredentialManagerGroth16,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,5,113,10000000,50000,45250000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,10000000,1,292,77081f141b0a9545515f5634b68ce1c62baf696b804c1dca43a47a4c1315c347,437,0,,,,0x52c92402aecf8ca6b7821bbd66abdf8516c93ad2aed005378a46ac5392cf459c,11,6,1011,45250000,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,full-l2-e97b69f-20260925T132901Z-b,full,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d5,groth16,5,10,8,verify_credential,tx,G16-d5-p2,2,10,A0,manager,CredentialManagerGroth16,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,6,113,10000000,50000,45250000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,10000000,1,292,0eb8507a498849ef0b107b12dc37664043f43ccb264665284d857cbd6e9a9447,437,0,,,,0xb7988380b89febb408827c406a9b7786c4fe397d09aa0a3b841775b46df78913,13,7,1013,45250000,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,full-l2-e97b69f-20260925T132901Z-b,full,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d5,groth16,5,10,9,verify_credential,tx,G16-d5-p3,3,14,A0,manager,CredentialManagerGroth16,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,7,113,10000000,50000,45250000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,10000000,1,292,9989e21fd9b136f60c79b292cec0791d6024260adc3bfd6e58f367783c9579d6,437,0,,,,0x867485f8bcba8425479ac038a93e7fc0e2c1ef6c425dae9569d55acc468c60ff,15,8,1015,45250000,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,full-l2-e97b69f-20260925T132901Z-b,full,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d5,groth16,5,10,10,verify_credential,tx,G16-d5-p4,4,18,A0,manager,CredentialManagerGroth16,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,8,113,10000000,50000,45250000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,10000000,1,292,126cc5e35860522ddfe1ae9d3b0c5e9255612d37d259f6403d9aa1179529885e,437,0,,,,0x14219fd4610d4c91ba5d87a8824c296ee737a89824b5b6c80da9fe343615d3f0,17,9,1017,45250000,local_fixed_fee_input_derived
