campaign_id,session_id,profile_id,container_id,kind,run_id,round,round_attempt,order_in_round,seed,is_warmup,warmup_kind,backend,depth,leaf_index,started_at_utc,input_ms,witness_ms,prove_ms,verify_first_ms,verify_steady_ms,stage_sum_ms,wall_ms,zkey_bytes,zkey_sha256,proof_valid,root_matches,input_matches_committed,public_root,expected_root,heap_used_mb,rss_mb,image_id,manifest_sha256,status,error
campaign-20260925T060607Z,S20260925T060607Z,cpu8,89f26c2f8588,primary,campaign-20260925T060607Z/cpu8/primary0a1/in_process1,0,1,1,0,1,in_process,groth16,5,0,2026-09-25T06:11:42.957Z,0.532,14.177,246.1,7.128,6.854,267.936,267.952,1133343,41c7636150900ee72cf6323930dd506bd0fc015a94a20905cc61c856b4fe919a,1,1,1,8772061116891597512098326450504850663371859585885077427179882578819842555696,8772061116891597512098326450504850663371859585885077427179882578819842555696,11.563,224.059,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,9a7829fe2584259f1dd0dc45cf73c5ce904fce7e61e964fb7958826f156b43be,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu8,89f26c2f8588,primary,campaign-20260925T060607Z/cpu8/primary0a1/in_process2,0,1,2,0,1,in_process,plonk,5,0,2026-09-25T06:11:43.248Z,0.596,12.645,9464.045,7.914,7.211,9485.2,9485.223,50790568,8b7d89ef154d0704a4a5fb8df978ea728f0decad61374b1d3a80a026ad357fec,1,1,1,8772061116891597512098326450504850663371859585885077427179882578819842555696,8772061116891597512098326450504850663371859585885077427179882578819842555696,10.836,631.91,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,9a7829fe2584259f1dd0dc45cf73c5ce904fce7e61e964fb7958826f156b43be,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu8,89f26c2f8588,primary,campaign-20260925T060607Z/cpu8/primary0a1/round01,0,1,1,0,1,round0,plonk,14,0,2026-09-25T06:11:52.757Z,46.573,16.425,18670.916,9.526,7.131,18743.44,18743.468,101787276,61d7365d9163bc99ded1dfbd03499b9283c2947715292debbde41b3796b6b916,1,1,1,12582151698735550891927690128793622813383487692593364506314066026947547425304,12582151698735550891927690128793622813383487692593364506314066026947547425304,10.225,709.309,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,9a7829fe2584259f1dd0dc45cf73c5ce904fce7e61e964fb7958826f156b43be,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu8,89f26c2f8588,primary,campaign-20260925T060607Z/cpu8/primary0a1/round02,0,1,2,0,1,round0,plonk,10,0,2026-09-25T06:12:11.524Z,3.175,14.403,9519.866,8.306,7.294,9545.75,9545.77,51742588,bebeabf9a0c71095a0054d8bd4225201a55744b4b0560ef0825703d4931d0ced,1,1,1,5493694120516454304625833950804950714434791624469988248149691492887491269863,5493694120516454304625833950804950714434791624469988248149691492887491269863,10.263,716.805,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,9a7829fe2584259f1dd0dc45cf73c5ce904fce7e61e964fb7958826f156b43be,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu8,89f26c2f8588,primary,campaign-20260925T060607Z/cpu8/primary0a1/round03,0,1,3,0,1,round0,groth16,7,0,2026-09-25T06:12:21.094Z,1.12,13.364,121.441,6.419,5.77,142.344,142.359,1374247,c0f6d8c4ac9fa282780a2c229d7d086f87e26be62a3eefceb9f801e5076843aa,1,1,1,6834760395900399403843817083005722754930321299301222295483199499696193022453,6834760395900399403843817083005722754930321299301222295483199499696193022453,11.487,693.938,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,9a7829fe2584259f1dd0dc45cf73c5ce904fce7e61e964fb7958826f156b43be,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu8,89f26c2f8588,primary,campaign-20260925T060607Z/cpu8/primary0a1/round04,0,1,4,0,1,round0,groth16,10,0,2026-09-25T06:12:21.260Z,2.779,13.06,158.539,6.217,6.075,180.595,180.61,1866675,656d9ee8dd285db6410e0a4b4317201829a1347f7cc3ef6d8de625e8f99f432a,1,1,1,5493694120516454304625833950804950714434791624469988248149691492887491269863,5493694120516454304625833950804950714434791624469988248149691492887491269863,9.713,692.941,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,9a7829fe2584259f1dd0dc45cf73c5ce904fce7e61e964fb7958826f156b43be,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu8,89f26c2f8588,primary,campaign-20260925T060607Z/cpu8/primary0a1/round05,0,1,5,0,1,round0,plonk,9,0,2026-09-25T06:12:21.461Z,1.906,12.982,9584.027,8.2,7.202,9607.115,9607.134,51552184,9dc1fed4ae801e210c410e345557301925ad182187f5f64aedebb0ef6a13cf67,1,1,1,20121159957847147921812141654231982941331816397431355682788233457047980505218,20121159957847147921812141654231982941331816397431355682788233457047980505218,10.319,727.066,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,9a7829fe2584259f1dd0dc45cf73c5ce904fce7e61e964fb7958826f156b43be,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu8,89f26c2f8588,primary,campaign-20260925T060607Z/cpu8/primary0a1/round06,0,1,6,0,1,round0,groth16,8,0,2026-09-25T06:12:31.092Z,1.633,13.139,140.911,5.911,5.951,161.594,161.608,1625771,5ed3b83d5f5aad4ca7fa25c79bc0fa86d421d2202a7e7054079f14b9e1c2f4cd,1,1,1,4202603041571593097755192347734702907906852554209131907104891159135181794540,4202603041571593097755192347734702907906852554209131907104891159135181794540,9.64,702.848,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,9a7829fe2584259f1dd0dc45cf73c5ce904fce7e61e964fb7958826f156b43be,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu8,89f26c2f8588,primary,campaign-20260925T060607Z/cpu8/primary0a1/round07,0,1,7,0,1,round0,groth16,12,0,2026-09-25T06:12:31.274Z,15.305,15.07,174.388,5.886,5.923,210.65,210.674,2107579,3fdb01845d81a3cdbbba88fcf45b948195abf01ba68c30be8a5f3e3546d4e81e,1,1,1,1305120659341908565283217195273270415919492373288777814091321905738895669205,1305120659341908565283217195273270415919492373288777814091321905738895669205,9.853,702.582,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,9a7829fe2584259f1dd0dc45cf73c5ce904fce7e61e964fb7958826f156b43be,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu8,89f26c2f8588,primary,campaign-20260925T060607Z/cpu8/primary0a1/round08,0,1,8,0,1,round0,plonk,12,0,2026-09-25T06:12:31.504Z,15.91,14.965,18733.408,8.997,7.264,18773.279,18773.303,101406468,ac66b87842b1343c8548cf4e922c1ee3249b5519daa07857ea88621896f01c1d,1,1,1,1305120659341908565283217195273270415919492373288777814091321905738895669205,1305120659341908565283217195273270415919492373288777814091321905738895669205,10.294,732.984,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,9a7829fe2584259f1dd0dc45cf73c5ce904fce7e61e964fb7958826f156b43be,ok,
